序列   电影名称   评星   评论人数   上映国家   上映时间   简述
=========================================================================
1   肖申克的救赎   9.7   2245323人评价    美国    1994    希望让人自由。
2   霸王别姬   9.6   1667244人评价    中国大陆中国香港    1993    风华绝代。
3   阿甘正传   9.5   1691039人评价    美国    1994    一部美国近现代史。
4   这个杀手不太冷   9.4   1875868人评价    法国美国    1994    怪蜀黍和小萝莉不得不说的故事。
5   泰坦尼克号   9.4   1649891人评价    美国    1997    失去的才是永恒的。 
6   美丽人生   9.5   1045359人评价    意大利    1997    最美的谎言。
7   千与千寻   9.4   1767346人评价    日本    2001    最好的宫崎骏，最好的久石让。 
8   辛德勒的名单   9.5   863127人评价    美国    1993    拯救一个人，就是拯救整个世界。
9   盗梦空间   9.3   1642004人评价    美国英国    2010    诺兰给了我们一场无法盗取的梦。
10   忠犬八公的故事   9.4   1123202人评价    美国英国    2009    永远都不能忘记你所爱的人。
11   星际穿越   9.3   1313730人评价    美国英国加拿大    2014    爱是一种力量，让我们超越时空感知它的存在。
12   海上钢琴师   9.3   1336521人评价    意大利    1998    每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
13   楚门的世界   9.3   1225970人评价    美国    1998    如果再也不能见到你，祝你早安，午安，晚安。
14   三傻大闹宝莱坞   9.2   1496095人评价    印度    2009    英俊版憨豆，高情商版谢耳朵。
15   机器人总动员   9.3   1056015人评价    美国    2008    小瓦力，大人生。
16   放牛班的春天   9.3   1037559人评价    法国瑞士德国    2004    天籁一般的童声，是最接近上帝的存在。 
17   大话西游之大圣娶亲   9.2   1201422人评价    中国香港中国大陆    1995    一生所爱。
18   疯狂动物城   9.2   1451691人评价    美国    2016    迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
19   熔炉   9.3   734507人评价    韩国    2011    我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
20   无间道   9.2   991722人评价    中国香港    2002    香港电影史上永不过时的杰作。
21   教父   9.3   734125人评价    美国    1972    千万不要记恨你的对手，这样会让你失去理智。
22   当幸福来敲门   9.1   1203616人评价    美国    2006    平民励志片。 
23   龙猫   9.2   1002293人评价    日本    1988    人人心中都有个龙猫，童年就永远不会消失。
24   怦然心动   9.1   1410144人评价    美国    2010    真正的幸福是来自内心深处。
25   触不可及   9.2   780383人评价    法国    2011    满满温情的高雅喜剧。
21   教父   9.3   734125人评价    美国    1972    千万不要记恨你的对手，这样会让你失去理智。
22   当幸福来敲门   9.1   1203616人评价    美国    2006    平民励志片。 
23   龙猫   9.2   1002293人评价    日本    1988    人人心中都有个龙猫，童年就永远不会消失。
24   怦然心动   9.1   1410144人评价    美国    2010    真正的幸福是来自内心深处。
25   触不可及   9.2   780383人评价    法国    2011    满满温情的高雅喜剧。
26   控方证人   9.6   337538人评价    美国    1957    比利·怀德满分作品。
27   蝙蝠侠：黑暗骑士   9.2   817420人评价    美国英国    2008    无尽的黑暗。
28   活着   9.3   635170人评价    中国大陆中国香港    1994    张艺谋最好的电影。
